age,job,marital,education,default,housing,loan
Adult,housemaid,married,basic,no,no,no
Adult,services,married,high school,unknown,no,no
Adult,services,married,high school,no,yes,no
Adult,admin.,married,basic,no,no,no
Adult,services,married,high school,no,no,yes
Adult,services,married,basic,unknown,no,no
Adult,admin.,married,professional course,no,no,no
Adult,blue-collar,married,unknown,unknown,no,no
young adult,technician,single,professional course,no,yes,no
young adult,services,single,high school,no,yes,no
Adult,blue-collar,married,unknown,unknown,no,no
young adult,services,single,high school,no,yes,no
young adult,blue-collar,single,high school,no,no,yes
Adult,housemaid,divorced,basic,no,yes,no
Adult,blue-collar,married,basic,no,yes,no
Adult,retired,married,basic,unknown,yes,yes
Adult,blue-collar,married,basic,no,yes,no
Adult,blue-collar,married,basic,unknown,yes,yes
Adult,blue-collar,married,basic,no,yes,yes
Adult,management,single,basic,unknown,no,no
Adult,unemployed,married,high school,no,no,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,retired,single,high school,no,yes,no
Adult,technician,single,high school,no,yes,no
Adult,admin.,married,high school,no,yes,no
Adult,technician,married,university degree,no,no,yes
Adult,technician,married,unknown,no,yes,no
Adult,self-employed,married,basic,unknown,no,no
Adult,technician,single,university degree,unknown,no,no
Adult,unknown,married,university degree,unknown,unknown,unknown
Adult,admin.,married,unknown,no,no,no
Adult,technician,married,unknown,no,yes,no
Adult,blue-collar,married,unknown,no,no,no
Adult,management,married,basic,unknown,yes,no
Adult,blue-collar,divorced,basic,no,no,no
Adult,unknown,married,basic,unknown,yes,no
Adult,services,married,high school,no,no,no
Adult,technician,married,basic,no,yes,no
Adult,admin.,married,university degree,no,yes,no
Adult,technician,married,basic,no,yes,no
Adult,management,unknown,university degree,no,yes,no
Adult,entrepreneur,married,high school,no,yes,no
Adult,admin.,single,professional course,no,no,no
Adult,admin.,married,university degree,no,no,yes
Adult,admin.,married,university degree,unknown,yes,no
Adult,technician,single,professional course,unknown,no,no
Adult,admin.,married,university degree,no,yes,yes
Adult,blue-collar,married,basic,no,no,yes
Adult,admin.,married,university degree,no,yes,no
Adult,blue-collar,married,basic,no,yes,no
Adult,admin.,married,high school,no,no,no
Adult,housemaid,married,basic,no,no,yes
Elderly,admin.,married,high school,no,no,no
Adult,admin.,single,professional course,no,no,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,technician,married,professional course,unknown,yes,no
Adult,management,married,university degree,unknown,no,yes
Adult,services,married,high school,unknown,yes,no
Adult,unemployed,married,professional course,unknown,yes,yes
young adult,technician,single,university degree,no,yes,no
Adult,entrepreneur,married,university degree,unknown,no,no
Adult,blue-collar,married,basic,no,yes,no
Adult,blue-collar,married,basic,unknown,yes,no
Adult,blue-collar,married,basic,unknown,no,no
Adult,admin.,married,high school,no,no,no
Adult,admin.,married,university degree,no,no,no
Adult,blue-collar,single,basic,no,yes,no
Adult,admin.,married,unknown,no,yes,no
Adult,admin.,married,basic,no,yes,no
Adult,blue-collar,single,basic,unknown,yes,yes
Adult,management,married,basic,no,no,no
Adult,management,divorced,university degree,no,yes,no
Adult,admin.,married,university degree,unknown,yes,no
Adult,unknown,married,unknown,unknown,no,no
Adult,admin.,married,university degree,unknown,yes,no
Adult,blue-collar,divorced,basic,unknown,yes,no
Adult,technician,married,university degree,no,no,no
Adult,services,married,high school,unknown,yes,no
Adult,management,married,unknown,unknown,yes,no
Adult,blue-collar,married,basic,unknown,no,no
